order_id,date,city,product,category,quantity,revenue,payment_method
1001,2026-01-03,Houston,Laptop Stand,Accessories,2,59.98,Card
1002,2026-01-05,Katy,Wireless Mouse,Accessories,3,44.97,Card
1003,2026-01-08,Sugar Land,Keyboard,Accessories,1,49.99,Cash
1004,2026-01-12,Houston,USB-C Hub,Accessories,2,69.98,Card
1005,2026-01-15,Katy,Monitor,Electronics,1,189.99,Card
1006,2026-01-19,Sugar Land,Webcam,Electronics,2,119.98,Cash
1007,2026-01-22,Houston,Wireless Mouse,Accessories,4,59.96,Card
1008,2026-01-28,Katy,Keyboard,Accessories,2,99.98,PayPal
1009,2026-02-02,Sugar Land,Monitor,Electronics,1,189.99,Card
1010,2026-02-06,Houston,Laptop Stand,Accessories,3,89.97,PayPal
1011,2026-02-10,Katy,USB-C Hub,Accessories,1,34.99,Card
1012,2026-02-14,Sugar Land,Webcam,Electronics,3,179.97,Card
1013,2026-02-18,Houston,Monitor,Electronics,2,379.98,Card
1014,2026-02-21,Katy,Wireless Mouse,Accessories,2,29.98,Cash
1015,2026-02-25,Sugar Land,Keyboard,Accessories,1,49.99,PayPal
1016,2026-03-01,Houston,USB-C Hub,Accessories,3,104.97,Card
1017,2026-03-05,Katy,Laptop Stand,Accessories,1,29.99,Card
1018,2026-03-09,Sugar Land,Monitor,Electronics,1,189.99,Card
1019,2026-03-14,Houston,Webcam,Electronics,2,119.98,PayPal
1020,2026-03-18,Katy,Keyboard,Accessories,3,149.97,Card
